company_fullname,tweet_text,favorite_count,created_at,hashtags,tweet_id,lang,urls,user_followers,user_screen_name,crawling_time
MEDIA PRIMA,Respect to shafinaz and norman KRU for stating facts. The fact that the MCs kind of take norman's statement about kpop as something as like ew lmao. It pisses me off to see how low our media people can be. WHERES YOUR ETHICS? MEDIA PRIMA COME ON.,0,Wed Mar 27 17:50:36 +0000 2019,,1110962339086401536,en,,46,skkl444,2019-03-31|22:50
MGB,RT @bourdyot_: #MGB GT Sebring 1967 https://t.co/2QK70lF9zk,0,Wed Mar 27 23:42:23 +0000 2019,MGB,1111050865165647873,en,,627,DjSigfrid,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 23:42:07 +0000 2019,,1111050801206775808,pt,,599,opsnanda67,2019-03-31|22:54
MGB,"RT @MGExp: Aric's 1974 MG MGB ""Sabrina"" - MGExp Registry https://t.co/w54BkL99GM #AutoShrine https://t.co/jxlE4a5CrS",0,Wed Mar 27 23:38:02 +0000 2019,AutoShrine,1111049771446226944,tl,http://dlvr.it/R1T9HX,2041,MGExp,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 23:36:44 +0000 2019,,1111049444416462848,pt,,565,botafoguensers,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 23:33:22 +0000 2019,,1111048595476791296,pt,,584,MenorFeliiz,2019-03-31|22:54
MGB,@DeniseInNC @GolasKathleen @gentlegiant303 @conor_greene @hoodoo_operator @gelliottmorris @CNBC Oh my word. My first car cost $500 dollars. And it actually worked for 2 years. An old MGB.,2,Wed Mar 27 23:29:58 +0000 2019,,1111047743349420033,en,,5263,kaleekreider,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 23:13:11 +0000 2019,,1111043518036877312,pt,,397,Vascaina77,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 23:00:18 +0000 2019,,1111040276368379907,pt,,206,KarolSwinerd,2019-03-31|22:54
MGB,1979 MGB Convertible (Ringoes) $5000 - https://t.co/k35FL1lfby https://t.co/ZD3BJdAKA6,0,Wed Mar 27 22:59:42 +0000 2019,,1111040123116769280,en,https://goo.gl/7ADR17,220,PetrolBangers,2019-03-31|22:54
MGB,"RT @tanoshii_mokei: アオシマ1/24 MGB '68

おおよそのボディ全体の慣らしです。
部品の合いを確認。後バンパーの取付けがしっくりきません。後で調べます。
多角形のエンブレムはデカールとエッチングが選べるので、
モールドを削りました。
ゲート跡が残る…",0,Wed Mar 27 22:57:32 +0000 2019,,1111039580621275136,ja,,701,dop0323dop,2019-03-31|22:54
MGB,Quando eu for dormir em mgb eu quero assistir o jogo dos meninos na quadra e ver o moreno jogar,0,Wed Mar 27 22:40:06 +0000 2019,,1111035191173222405,pt,,550,annynhaoliverr,2019-03-31|22:54
MGB,RT @MGExp: MG Master Technician - MGExp MGB &amp; GT Forum https://t.co/vbrt1XpDBP #AutoShrine https://t.co/dBA5YNeNLa,0,Wed Mar 27 22:40:02 +0000 2019,AutoShrine,1111035175863873541,und,http://dlvr.it/R1T3nj,2041,MGExp,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 22:39:04 +0000 2019,,1111034932816683009,pt,,201,Sjr021,2019-03-31|22:54
MGB,Chris' 1974 MG MGB - MGExp Registry https://t.co/JkMxp5OYkM #AutoShrine https://t.co/xNS7LwqtSq,3,Wed Mar 27 22:38:33 +0000 2019,AutoShrine,1111034801220251648,tl,http://dlvr.it/R1gwpZ,2041,MGExp,2019-03-31|22:54
MGB,https://t.co/cCRLgcQwO3 #swavvycups #sodmg #pte #eod #mgb https://t.co/RUm7xhwhaT,0,Wed Mar 27 22:27:47 +0000 2019,"swavvycups,sodmg,pte,eod,mgb",1111032093251903493,und,http://Swavvylife.com,91,SwavvyOfficial,2019-03-31|22:54
MGB,1976 MGB (Granville) $5800 - https://t.co/XLpMTVHALJ https://t.co/EetKe9Ue0f,0,Wed Mar 27 22:26:23 +0000 2019,,1111031740414349312,fi,https://goo.gl/1pSe5r,220,PetrolBangers,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 22:24:43 +0000 2019,,1111031321109950467,pt,,240,Papaivodka,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 22:16:14 +0000 2019,,1111029185340981249,pt,,502,Thuany__13,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 22:13:47 +0000 2019,,1111028567469670400,pt,,337,Na_juu15,2019-03-31|22:54
MGB,RT @SEEKINGTHETRU17: The Ministry of State Security (MGB) of DPR began the study of secret documents that department received from former d…,0,Wed Mar 27 22:12:08 +0000 2019,,1111028153491906561,en,,1974,Cosmopolitka,2019-03-31|22:54
MGB,RT @bourdyot_: #MGB GT Sebring 1967 https://t.co/2QK70lF9zk,0,Wed Mar 27 22:07:50 +0000 2019,MGB,1111027071445274629,en,,935,Sonic_Roberto,2019-03-31|22:54
